genre_group,title,author,n_chapters,mean_happiness,median_happiness,mean_coverage,mean_word_count
children,Alice's Adventures in Wonderland,Lewis Carroll,12,5.369956710777473,5.363562006592453,0.9318141207712348,2276.0
children,Anne of Green Gables,L. M. Montgomery,38,5.444798434253835,5.437114474542799,0.9114350066466766,2805.0526315789475
children,Black Beauty,Anna Sewell,2,5.388357939136636,5.388357939136636,0.948055103959576,30380.5
children,Five Children and It,E. Nesbit,13,5.383033071687124,5.385410821643287,0.9221299605761488,4234.461538461538
children,Heidi,Johanna Spyri,23,5.432570579743674,5.433541666666667,0.9255814010794592,4008.086956521739
children,Little Women,Louisa May Alcott,47,5.463913829475004,5.469881018262313,0.91696148580055,4061.0
children,Peter Pan,J. M. Barrie,18,5.347773994503665,5.381643334487973,0.9214073119157103,2657.777777777778
children,The Picture of Dorian Gray,Oscar Wilde,22,5.3839920750746995,5.409838802484648,0.912735556992205,3653.681818181818
children,The Secret Garden,Frances Hodgson Burnett,27,5.395869867894098,5.406878949927078,0.931833816209673,3083.3333333333335
children,The Wind in the Willows,Kenneth Grahame,36,5.442030479115374,5.4564895264531,0.9110028109314828,1511.9444444444443
gothic_horror,Carmilla,J. Sheridan Le Fanu,16,5.4114624113691985,5.427250012879696,0.9103310076942729,1750.0625
gothic_horror,Dracula,Bram Stoker,29,5.3776768112556494,5.376632981166743,0.9281801732039038,5621.413793103448
gothic_horror,Frankenstein,Mary Shelley,27,5.417737319438668,5.4165469824293355,0.8940744521594909,2777.296296296296
gothic_horror,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1,5.309159212880143,5.309159212880143,0.9041475719182038,25967.0
gothic_horror,The Castle of Otranto,Horace Walpole,5,5.3598403256961635,5.355168742466854,0.8645171274114214,7023.8
gothic_horror,The House of the Seven Gables,Nathaniel Hawthorne,24,5.362526631898075,5.364342054066656,0.8783918247195347,4499.25
gothic_horror,The King in Yellow,Robert W. Chambers,1,5.348479856635765,5.348479856635765,0.8626768938042574,33636.0
gothic_horror,The Turn of the Screw,Henry James,1,5.369832187476898,5.369832187476898,0.9339915763308708,43449.0
gothic_horror,The Wonderful Wizard of Oz,L. Frank Baum,23,5.4003521974632305,5.4042158706280565,0.9346725809190469,1717.1739130434783
